# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T06:46:38.421027+00:00
schema,name,object_type,row_count,disposition,identical_in_archive_pub_v1_0,identical_in_archive_legacy,proposed_target_name,justification
main,note_entities_llm_functional_outcomes,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_functional_outcomes_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_imaging,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_imaging_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_labs,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_labs_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_parathyroid_detail,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_parathyroid_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_past_medical_hx,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_past_medical_hx_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_past_surgical_hx,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_past_surgical_hx_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_pathology,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_pathology_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_patient_decision_adherence,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_patient_decision_adherence_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_physical_exam,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_physical_exam_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_presenting_symptoms,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_presenting_symptoms_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_rad_treatment,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_rad_treatment_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_rai_detailed,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_rai_detailed_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_recurrence,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_recurrence_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_survival_followup,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_survival_followup_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_synoptic_pathology_enrichment,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_synoptic_pathology_enrichment_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_tg_kinetics,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_tg_kinetics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_tirads_granular,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_tirads_granular_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_us_nodule_dynamics,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_us_nodule_dynamics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_llm_vascular_invasion,BASE TABLE,11037,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_llm_vascular_invasion_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_medications,BASE TABLE,7501,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_medications_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_operative_detail,BASE TABLE,12151,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_operative_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,note_entities_problem_list,BASE TABLE,11579,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__note_entities_problem_list_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
